,t,fC
16584,102,0.2229299363057325
16585,103,0.23248407643312102
16586,104,0.21337579617834396
16587,105,0.22929936305732485
16588,106,0.18789808917197454
16589,107,0.22929936305732485
16590,108,0.23248407643312102
16591,109,0.2643312101910828
16592,110,0.2356687898089172
16593,111,0.20382165605095542
16594,112,0.2197452229299363
16595,113,0.19745222929936307
16596,114,0.24522292993630573
16597,115,0.24522292993630573
16598,116,0.2356687898089172
16599,117,0.23248407643312102
16600,118,0.2356687898089172
16601,119,0.21337579617834396
16602,120,0.2484076433121019
16603,121,0.21656050955414013
16604,122,0.24522292993630573
16605,123,0.22611464968152867
16606,124,0.23885350318471338
16607,125,0.21019108280254778
16608,126,0.19745222929936307
16609,127,0.21337579617834396
16610,128,0.23248407643312102
16611,129,0.2197452229299363
16612,130,0.22611464968152867
16613,131,0.2229299363057325
16614,132,0.2197452229299363
16615,133,0.21019108280254778
16616,134,0.23248407643312102
16617,135,0.21337579617834396
16618,136,0.2611464968152866
16619,137,0.23248407643312102
16620,138,0.21656050955414013
16621,139,0.24203821656050956
16622,140,0.25477707006369427
16623,141,0.2356687898089172
16624,142,0.2070063694267516
16625,143,0.22929936305732485
16626,144,0.23885350318471338
16627,145,0.22929936305732485
16628,146,0.2197452229299363
16629,147,0.24203821656050956
16630,148,0.2484076433121019
16631,149,0.24522292993630573
16632,150,0.22929936305732485
16633,151,0.21656050955414013
16634,152,0.25477707006369427
16635,153,0.2197452229299363
16636,154,0.2070063694267516
16637,155,0.27070063694267515
16638,156,0.22929936305732485
16639,157,0.20063694267515925
16640,158,0.22611464968152867
16641,159,0.2197452229299363
16642,160,0.22929936305732485
16643,161,0.21656050955414013
16644,162,0.23885350318471338
16645,163,0.19745222929936307
16646,164,0.2356687898089172
16647,165,0.23248407643312102
16648,166,0.2197452229299363
16649,167,0.1942675159235669
16650,168,0.2070063694267516
16651,169,0.2484076433121019
16652,170,0.22611464968152867
16653,171,0.24522292993630573
16654,172,0.24522292993630573
16655,173,0.18471337579617833
16656,174,0.22929936305732485
16657,175,0.22929936305732485
16658,176,0.21019108280254778
16659,177,0.22611464968152867
16660,178,0.19745222929936307
16661,179,0.2515923566878981
16662,180,0.2611464968152866
16663,181,0.25477707006369427
16664,182,0.23248407643312102
16665,183,0.24203821656050956
16666,184,0.2229299363057325
16667,185,0.2229299363057325
16668,186,0.2070063694267516
16669,187,0.19745222929936307
16670,188,0.2356687898089172
16671,189,0.23885350318471338
16672,190,0.20063694267515925
16673,191,0.2229299363057325
16674,192,0.2197452229299363
16675,193,0.21337579617834396
16676,194,0.22929936305732485
16677,195,0.21337579617834396
16678,196,0.22611464968152867
16679,197,0.21656050955414013
16680,198,0.21656050955414013
16681,199,0.20382165605095542
16682,200,0.2229299363057325
16683,0,0.21474358974358973
16684,1,0.22435897435897437
16685,2,0.23397435897435898
16686,3,0.19230769230769232
16687,4,0.1794871794871795
16688,5,0.24358974358974358
16689,6,0.21474358974358973
16690,7,0.23076923076923078
16691,8,0.21153846153846154
16692,9,0.19230769230769232
16693,10,0.1987179487179487
16694,11,0.22756410256410256
16695,12,0.26282051282051283
16696,13,0.20512820512820512
16697,14,0.1891025641025641
16698,15,0.22115384615384615
16699,16,0.20192307692307693
16700,17,0.20512820512820512
16701,18,0.19230769230769232
16702,19,0.1955128205128205
16703,20,0.1987179487179487
16704,21,0.2692307692307692
16705,22,0.2467948717948718
16706,23,0.21474358974358973
16707,24,0.22756410256410256
16708,25,0.23397435897435898
16709,26,0.20192307692307693
16710,27,0.22115384615384615
16711,28,0.21153846153846154
16712,29,0.21153846153846154
16713,30,0.18269230769230768
16714,31,0.22756410256410256
16715,32,0.21153846153846154
16716,33,0.22435897435897437
16717,34,0.18269230769230768
16718,35,0.20192307692307693
16719,36,0.21153846153846154
16720,37,0.1858974358974359
16721,38,0.21474358974358973
16722,39,0.1987179487179487
16723,40,0.18269230769230768
16724,41,0.21794871794871795
16725,42,0.21794871794871795
16726,43,0.25961538461538464
16727,44,0.24358974358974358
16728,45,0.20192307692307693
16729,46,0.18269230769230768
16730,47,0.20833333333333334
16731,48,0.23076923076923078
16732,49,0.23076923076923078
16733,50,0.20833333333333334
16734,51,0.2403846153846154
16735,52,0.21794871794871795
16736,53,0.22756410256410256
16737,54,0.22115384615384615
16738,55,0.20833333333333334
16739,56,0.25
16740,57,0.22435897435897437
16741,58,0.1987179487179487
16742,59,0.23397435897435898
16743,60,0.23076923076923078
16744,61,0.20192307692307693
16745,62,0.2564102564102564
16746,63,0.19230769230769232
16747,64,0.23717948717948717
16748,65,0.1858974358974359
16749,66,0.24358974358974358
16750,67,0.1955128205128205
16751,68,0.21153846153846154
16752,69,0.22115384615384615
16753,70,0.22435897435897437
16754,71,0.1955128205128205
16755,72,0.2403846153846154
